existingsiteidentified,proposedleasedfacility,forecastcapacity,district,school,projectnum,description,location,latitude,longitude,actualestcompl,fy,designstart,constrstart,totalestcost,previousappropriations,fundingreqd,neededtocomplete,source,inprev,cd,borough,csd,geom_source,geom
Yes,Yes,54,15,PRE-K CENTER @ 305-307 THIRD AVENUE,DSF0000821832,pre-k capacity projects,305-307 3rd Avenue,,,16-Aug,2017,15-Mar,15-Nov,10,0,10,0,sca_cp_prek_schools_FY2015-19,Y,306,Brooklyn,15,DCP,0101000020E6100000B85CFDD8247F52C09BE7887C97564440
Yes,Yes,54,24,PRE-K CENTER @ 54-25 101ST STREET,DSF0000844691,pre-k capacity projects,54-25 101st Street,,,18-Sep,2019,16-Sep,17-Jul,3.32,0,3.32,0,sca_cp_prek_schools_FY2015-19,Y,404,Queens,24,DCP,0101000020E6100000156F641EF97652C0DEACC1FBAA5E4440
Yes,Yes,90,20,PRE-K CENTER @ 6309 4TH AVENUE,DSF0000866170,pre-k capacity projects,6309 4th Avenue,,,24-Sep,2025,16-Nov,23-Mar,7.52,0.66,6.54,0.32,sca_cp_prek_schools_FY2020-24,,307,Brooklyn,20,DCP,0101000020E6100000D4981073498152C051F9D7F2CA514440
Yes,Yes,72,28,PRE-K CENTER @ 83-30 KEW GARDENS ROAD,DSF0000801086,pre-k capacity projects,83-30 Kew Gardens Road,,,15-Aug,2016,14-Sep,15-Mar,7.36,0,7.36,0,sca_cp_prek_schools_FY2015-19,Y,409,Queens,28,DCP,0101000020E6100000DE74CB0EF17452C032AF230ED95A4440
No,No,18,24,PRE-K CENTER @ CORONA AVENUE,DSF0000866312,pre-k capacity projects,104-04 Corona Avenue,,,18-Sep,2019,17-Jun,18-Mar,4.94,0,4.94,0,sca_cp_prek_schools_FY2015-19,Y,404,Queens,24,DCP,0101000020E6100000616D8C9DF07652C043024697375F4440
No,Yes,72,2,PRE-K CENTER @ WEST 57TH STREET,DSF0000865846,pre-k capacity projects,606 West 57th Street,,,19-Sep,2020,16-Dec,18-May,7.99,0,7.62,0.37,sca_cp_prek_schools_FY2015-19,Y,104,Manhattan,2,DCP,0101000020E610000033182312857F52C09B046F48A3624440
Yes,No,456,21,P.S. 101,DSF0000798192,capacity projects,2360 BENSON AVENUE,,,Jun-19,2019,May-15,Dec-16,90.96,0,90.96,,sca_cp_cap_schools_FY2015-19,Y,311,Brooklyn,21,DCP,0101000020E6100000EBE6E26F7B7F52C0386744696F4C4440
Yes,No,364,20,P.S. 127,DSF0000798189,capacity projects,922 78th Street,,,May-21,2021,Feb-17,May-18,92.06,0,84.04,,sca_cp_cap_schools_FY2015-19,Y,310,Brooklyn,20,DCP,0101000020E6100000C020E9D32A8152C081CEA44DD54F4440
Yes,No,440,24,P.S. 128,DSF0000821576,capacity projects,69-10 65TH DRIVE,,,Jun-20,2020,Mar-16,Jun-17,45.11,0,41.41,,sca_cp_cap_schools_FY2015-19,Y,405,Queens,24,DCP,0101000020E6100000C4E8B985AE7852C073B9C150875B4440
*,L,132,31,P.S. 13 ANNEX,DSF0000889041,capacity projects,457 TOMKINS AVENUE,,,Sep-20,2021,Sep-18,Jul-19,14.05,1.13,12.93,0,sca_cp_cap_schools_FY2020-24,,501,Staten Island,31,DCP,0101000020E61000005F5B05529E8452C0374570F1AA4E4440
Yes,No,344,8,P.S. 14,DSF0000798233,capacity projects,3047 BRUCKNER BLVD,,,Sep-18,2019,Feb-15,Jul-16,70.99,0.18,70.81,,sca_cp_cap_schools_FY2015-19,Y,210,Bronx,8,DCP,0101000020E6100000EF71A609DB7452C0CEA8F92AF96A4440
Yes,No,980,24,P.S. 143,DSF0000798195,capacity projects,34-74 113 STREET,,,Sep-20,2021,Jan-16,Jul-17,125.07,0.07,114.28,,sca_cp_cap_schools_FY2015-19,Y,403,Queens,24,DCP,0101000020E61000002593533BC37652C00A2DEBFEB1604440
Yes,No,590,28,P.S. 144,DSF0000798209,capacity projects,93-02 69 AVENUE,,,Sep-19,2020,Dec-15,Jul-17,72.41,0,69.06,,sca_cp_cap_schools_FY2015-19,Y,406,Queens,28,DCP,0101000020E610000017B83CD68C7652C0AA454431795B4440
Yes,No,250,28,P.S. 196,DSF0000843834,capacity projects,71-25 113 STREET,,,Jun-22,2022,Apr-18,Jul-19,37.5,0,2.88,,sca_cp_cap_schools_FY2015-19,Y,406,Queens,28,DCP,0101000020E6100000462575029A7552C06AA4A5F2765C4440
Yes,,Replacement,30,P.S. 2,DSF0000888778,replacement projects,75-10 21 AVENUE,,,Sep-21,2022,Dec-17,Mar-19,45.00,0.00,40.20,4.80,sca_cp_rep_schools,,401,Queens,30,DCP,0101000020E6100000E14389963C7952C0122F4FE78A624440
Yes,No,392,28,P.S. 206,DSF0000888762,capacity projects,61-21 97TH PLACE,,,Jun-22,2022,Mar-18,Jun-19,43.15,0,38.55,,sca_cp_cap_schools_FY2015-19,Y,406,Queens,28,DCP,0101000020E6100000F9484A7A187752C049DA8D3EE65D4440
Yes,,Replacement,25,P.S. 24,DSF0000798203,replacement projects,45-57 Union St,,,Sep-18,2019,Dec-14,Jul-16,9.26,0.00,9.25,0.00,sca_cp_rep_schools,,407,Queens,25,DCP,0101000020E6100000A7EA1ED95C7452C0B4ACFBC742604440
Yes,No,600,25,P.S. 24,DSF0000798203,capacity projects,45-57 Union St,,,Sep-18,2019,Dec-14,Jul-16,113.37,0.05,113.33,,sca_cp_cap_schools_FY2015-19,Y,407,Queens,25,DCP,0101000020E6100000A7EA1ED95C7452C0B4ACFBC742604440
Yes,No,484,28,P.S. 303,DSF0000798208,capacity projects,108-55 69TH AVENUE,,,Sep-19,2020,Feb-15,Jan-17,97.45,0,93.31,,sca_cp_cap_schools_FY2015-19,Y,406,Queens,28,DCP,0101000020E6100000016BD5AE097652C0543A58FFE75C4440
Yes,No,436,15,P.S. 32,DSF0000798185,capacity projects,420 Union Street,,,Jul-20,2021,Mar-15,Jun-17,102.81,0.09,94.19,,sca_cp_cap_schools_FY2015-19,Y,306,Brooklyn,15,DCP,0101000020E61000007D5A457F687F52C05C3B511212574440
Yes,No,296,10,P.S. 340 GYM ANNEX,DSF0000798176,capacity projects,25 WEST 195 STREET,,,Sep-21,2022,Sep-17,Dec-18,65.92,0.02,58.95,,sca_cp_cap_schools_FY2015-19,Y,207,Bronx,10,DCP,0101000020E6100000A0E238F06A7952C088635DDC466F4440
Yes,No,500,10,P.S. 46,DSF0000798175,capacity projects,2760 Briggs Avenue,,,Jun-19,2019,Feb-15,Dec-16,120,0.07,119.93,,sca_cp_cap_schools_FY2015-19,Y,207,Bronx,10,DCP,0101000020E610000072C119FCFD7852C0D482177D056F4440
*,,450,2,P.S. 464,DSF0000798170,capacity projects,639 St. Ann's Ave,,,Jun-22,2022,May-15,Mar-20,166.13,102.82,63.31,0,sca_cp_cap_schools_FY2020-24,Y,201,Bronx,7,DCP,0101000020E61000006A6AD95A5F7A52C0F0DDE68D93684440
Yes,No,124,27,P.S. 66,DSF0000801039,capacity projects,85-11 102nd St,,,Sep-19,2020,Aug-15,Jun-17,42.14,0,40.42,,sca_cp_cap_schools_FY2015-19,Y,409,Queens,27,DCP,0101000020E61000005C751DAA297652C054909F8D5C594440
Yes,No,468,21,P.S. 97,DSF0000798193,capacity projects,1855 Stillwell Avenue,,,Jun-21,2021,Mar-17,Jul-18,68.12,0,61,,sca_cp_cap_schools_FY2015-19,Y,311,Brooklyn,21,DCP,0101000020E6100000E945ED7E157F52C0E10D6954E04C4440
Yes,No,548,11,P.S. 97,DSF0000798178,capacity projects,1375 Mace Ave,,,Apr-21,2021,Feb-17,Apr-18,93.29,0.11,85.03,,sca_cp_cap_schools_FY2015-19,Y,211,Bronx,11,DCP,0101000020E610000036E9B6442E7652C0D40FEA22856E4440
*,,572,9,P.S. @ EDWARD L GRANT HIGHWAY,DSF0000889040,capacity projects,1302 EDWARD L GRANT HIGHWAY,,,Jun-23,2023,Mar-19,Jun-20,87.8,22.07,65.73,0,sca_cp_cap_schools_FY2020-24,,204,Bronx,9,DCP,0101000020E6100000A441022DFA7A52C087BF266B546B4440
*,,462,2,P.S. @ HUDSON SQUARE,DSF0000798236,capacity projects,2 HUDSON SQUARE,,,Jun-23,2023,Apr-18,Jun-21,64.28,5.01,59.27,0,sca_cp_cap_schools_FY2020-24,Y,102,Manhattan,2,DCP,0101000020E6100000FEFFFFA35F8052C0D8EE139D815C4440
*,,766,2,P.S./I.S. @ WESTERN RAILYARDS,DSF0000424314,capacity projects,West 30th Street between 11th and 12th Avenue,,,Sep-24,2025,Apr-19,Jul-21,106.29,8.45,94.91,2.93,sca_cp_cap_schools_FY2020-24,Y,104,Manhattan,2,DCP,0101000020E610000045D3FAD7498052C047D73B9281604440
Yes,No,612,30,P.S. @ PARCEL F,DSF0000843984,capacity projects,2ND STREET BETWEEN 56TH AVENUE AND 57TH AVENUE,,,Jun-21,2021,Apr-16,Jan-18,93.13,0,85.14,,sca_cp_cap_schools_FY2015-19,Y,402,Queens,30,DCP,0101000020E6100000F1EA0366917D52C0EE1249B2965E4440
*,,572,7,P.S. @ ST. ANN'S AVENUE,DSF0000889308,capacity projects,639 ST. ANN'S AVENUE,,,Mar-23,2023,Jan-19,Apr-20,85.35,6.66,78.69,0,sca_cp_cap_schools_FY2020-24,,201,Bronx,7,DCP,0101000020E610000079CE16105A7A52C09911DE1E84684440
Yes,Yes,Replacement,78X,SOUTHERN BOULEVARD COMMUNITY CAMPUS,DSF0000800056,replacement projects,1211 SOUTHERN BLVD,,,Jul-16,2017,Sep-14,Jul-15,11.42,0.00,11.42,0.00,sca_cp_rep_schools,,203,Bronx,12,DCP,0101000020E6100000FBFFFF1D1A7952C03342927E2E6A4440
Yes,Yes,72,13,THE DOCK STREET EDUCATIONAL COMPLEX,DSF0000821675,pre-k capacity projects,25 Dock Street,,,16-Jul,2017,14-Dec,15-May,5.97,0,5.97,0,sca_cp_prek_schools_FY2015-19,Y,302,Brooklyn,13,DCP,0101000020E6100000000000DC827F52C015A7E365FD594440
Yes,Yes,Replacement,78M,WEST END SECONDARY SCHOOL,DSF0000800279,replacement projects,227 WEST 61st STREET,,,Feb-19,2019,Jun-14,Jan-17,19.35,0.00,19.35,0.00,sca_cp_rep_schools,,107,Manhattan,3,DCP,0101000020E6100000FFFFFF3F3D7F52C04484836BE0624440
